timestamp,open,high,low,close,adjusted close,volume,dividend amount
2010-07-30,1031.1000,1120.9500,1010.9100,1101.6000,1101.6000,94778110000,0.0000
2010-06-30,1087.3000,1131.2300,1028.3300,1030.7100,1030.7100,110106750000,0.0000
2010-05-28,1188.5800,1205.1300,1040.7800,1089.4100,1089.4100,127662780000,0.0000
2010-04-30,1171.2300,1219.8000,1170.6899,1186.6899,1186.6899,116741910000,0.0000
2010-03-31,1105.3600,1180.6899,1105.3600,1169.4301,1169.4301,103683550000,0.0000
2010-02-26,1073.8900,1112.4200,1044.5000,1104.4900,1104.4900,84561340000,0.0000
2010-01-29,1116.5601,1150.4500,1071.5900,1073.8700,1073.8700,90947580000,0.0000
2009-12-31,1098.8900,1130.3800,1085.8900,1115.1000,1115.1000,89515330000,0.0000
2009-11-30,1036.1801,1113.6899,1029.3800,1095.6300,1095.6300,84981530000,0.0000
2009-10-30,1054.9100,1101.3600,1019.9500,1036.1899,1036.1899,113410990000,0.0000
2009-09-30,1019.5200,1080.1500,991.9700,1057.0800,1057.0800,112295490000,0.0000
2009-08-31,990.2200,1039.4700,978.5100,1020.6200,1020.6200,116059270000,0.0000
2009-07-31,920.8200,996.6800,869.3200,987.4800,987.4800,106635790000,0.0000
2009-06-30,923.2600,956.2300,888.8600,919.3200,919.3200,112653150000,0.0000
2009-05-29,872.7400,930.1700,866.1000,919.1400,919.1400,131614940000,0.0000
2009-04-30,793.5900,888.7000,783.3200,872.8100,872.8100,138855320000,0.0000
2009-03-31,729.5700,832.9800,666.7900,797.8700,797.8700,161843640000,0.0000
2009-02-27,823.0900,875.0100,734.5200,735.0900,735.0900,124492210000,0.0000
2009-01-30,902.9900,943.8500,804.3000,825.8800,825.8800,112090640000,0.0000
2008-12-31,888.6100,918.8500,815.6900,903.2500,903.2500,112884470000,0.0000
2008-11-28,968.6700,1007.5100,741.0200,896.2400,896.2400,115660210000,0.0000
2008-10-31,1164.1700,1167.0300,839.8000,968.7500,968.7500,159823030000,0.0000
2008-09-30,1287.8300,1303.0400,1106.4200,1166.3600,1166.3600,140007320000,0.0000
2008-08-29,1269.4200,1313.1500,1247.4500,1282.8300,1282.8300,86266010000,0.0000
2008-07-31,1276.6899,1292.1700,1200.4399,1267.3800,1267.3800,124980570000,0.0000
2008-06-30,1399.6200,1404.0500,1272.0000,1280.0000,1280.0000,96614040000,0.0000
2008-05-30,1385.9700,1440.2400,1373.0699,1400.3800,1400.3800,80990480000,0.0000
2008-04-30,1326.4100,1404.5699,1324.3500,1385.5900,1385.5900,85978630000,0.0000
2008-03-31,1330.4500,1359.6801,1256.9800,1322.7000,1322.7000,93189170000,0.0000
2008-02-29,1378.6000,1396.0200,1316.7500,1330.6300,1330.6300,78536130000,0.0000
2008-01-31,1467.9700,1471.7700,1270.0500,1378.5500,1378.5500,98475340000,0.0000
2007-12-31,1479.6300,1523.5699,1435.6500,1468.3600,1468.3600,64821670000,0.0000
2007-11-30,1545.7900,1545.7900,1406.1000,1481.1400,1481.1400,86246950000,0.0000
2007-10-31,1527.2900,1576.0900,1489.5601,1549.3800,1549.3800,76022580000,0.0000
2007-09-28,1473.9600,1538.7400,1439.2900,1526.7500,1526.7500,57809700000,0.0000
2007-08-31,1455.1801,1503.8900,1370.6000,1473.9900,1473.9900,91381760000,0.0000
2007-07-31,1504.6600,1555.9000,1454.2500,1455.2700,1455.2700,70337430000,0.0000
2007-06-29,1530.6200,1540.5601,1484.1801,1503.3500,1503.3500,65322800000,0.0000
2007-05-31,1482.3700,1535.5601,1476.7000,1530.6200,1530.6200,64958050000,0.0000
2007-04-30,1420.8300,1498.0200,1416.3700,1482.3700,1482.3700,57032470000,0.0000
2007-03-30,1406.8000,1438.8900,1363.9800,1420.8600,1420.8600,67622250000,0.0000
2007-02-28,1437.9000,1461.5699,1389.4200,1406.8199,1406.8199,51844990000,0.0000
2007-01-31,1418.0300,1441.6100,1403.9700,1438.2400,1438.2400,56686200000,0.0000
2006-12-29,1400.6300,1431.8101,1385.9301,1418.3000,1418.3000,47578780000,0.0000
2006-11-30,1377.7600,1407.8900,1360.9800,1400.6300,1400.6300,55343930000,0.0000
2006-10-31,1335.8199,1389.4500,1327.1000,1377.9399,1377.9399,56793620000,0.0000
2006-09-29,1303.8000,1340.2800,1290.9301,1335.8500,1335.8500,49001440000,0.0000
2006-08-31,1278.5300,1306.7400,1261.3000,1303.8199,1303.8199,50485620000,0.0000
2006-07-31,1270.0601,1280.4200,1224.5400,1276.6600,1276.6600,46348220000,0.0000
2006-06-30,1270.0500,1290.6801,1219.2900,1270.2000,1270.2000,54873260000,0.0000
2006-05-31,1310.6100,1326.7000,1245.3400,1270.0900,1270.0900,54312830000,0.0000
2006-04-28,1302.8800,1318.1600,1280.7400,1310.6100,1310.6100,43308430000,0.0000
2006-03-31,1280.6600,1310.8800,1268.4200,1294.8700,1294.8700,50905040000,0.0000
2006-02-28,1280.0800,1297.5699,1253.6100,1280.6600,1280.6600,42859940000,0.0000
2006-01-31,1248.2900,1294.9000,1245.7400,1280.0800,1280.0800,49211650000,0.0000
2005-12-30,1249.4800,1275.8000,1246.5900,1248.2900,1248.2900,41756130000,0.0000
2005-11-30,1207.0100,1270.6400,1201.0699,1249.4800,1249.4800,45102870000,0.0000
2005-10-31,1228.8101,1233.3400,1168.2000,1207.0100,1207.0100,49793790000,0.0000
2005-09-30,1220.3300,1243.1300,1205.3500,1228.8101,1228.8101,44777510000,0.0000
2005-08-31,1234.1801,1245.8600,1201.0699,1220.3300,1220.3300,42030090000,0.0000
